"timestamp","url","url_type","stage","reason","detail"
"2026-06-01 06:22:56","http://anaheim.net/936/Energy-Rebates-Incentives","web","scraping","Deep crawl returned no pages","scrape_all_pages returned empty list"
"2026-06-01 06:22:59","http://apps.sos.wv.gov/adlaw/csr/ruleview.aspx?document=8584","web","scraping","Deep crawl returned no pages","scrape_all_pages returned empty list"
"2026-06-01 06:25:00","http://aspencore.org/grants/","web","scraping","Deep crawl returned no pages","scrape_all_pages returned empty list"
"2026-06-01 06:25:44","http://bcapcodes.org/code-status/state/mississippi/","web","scraping","Deep crawl returned no pages","scrape_all_pages returned empty list"
"2026-06-01 06:25:48","http://bcap-ocean.org/state-country/colorado","web","scraping","Deep crawl returned no pages","scrape_all_pages returned empty list"
"2026-06-01 06:25:53","http://bit.ly/1suoNdB","web","scraping","Deep crawl returned no pages","scrape_all_pages returned empty list"
"2026-06-01 06:34:46","http://caec.coop/member-benefits-services/heat-pumps/","web","scraping","Deep crawl returned no pages","scrape_all_pages returned empty list"
"2026-06-01 06:39:01","http://city.milwaukee.gov/MilwaukeeShines#.VRw1e-G86W4","web","scraping","Deep crawl returned no pages","scrape_all_pages returned empty list"
"2026-06-01 06:39:08","http://cleanairfleets.org/programs/alt-fuels-colorado","web","scraping","Deep crawl returned no pages","scrape_all_pages returned empty list"
"2026-06-01 06:39:13","http://cleanairfleets.org/programs/charge-ahead-colorado","web","scraping","Deep crawl returned no pages","scrape_all_pages returned empty list"
"2026-06-01 06:41:16","http://commerceri.com/finance-business/renewable-energy-fund/commercial-scale-projects/","web","scraping","Deep crawl returned no pages","scrape_all_pages returned empty list"
"2026-06-01 06:41:18","http://comptroller.marylandtaxes.com/Public_Services/Agency_Information/Office_of_the_Comptroller/Comptroller_Initiatives/Shop_Maryland_Tax-free_Week/","web","scraping","Deep crawl returned no pages","scrape_all_pages returned empty list"
"2026-06-01 06:41:24","http://copace.com/","web","scraping","Deep crawl returned no pages","scrape_all_pages returned empty list"
"2026-06-01 06:43:28","http://cpuc.ca.gov/energyefficiency/","web","scraping","Deep crawl returned no pages","scrape_all_pages returned empty list"
"2026-06-01 06:44:55","http://crpud.net/ways-to-save/at-work","web","scraping","Deep crawl returned no pages","scrape_all_pages returned empty list"
"2026-06-01 06:46:58","http://dallascityhall.com/departments/sustainabledevelopment/buildinginspection/pages/know_code.aspx","web","scraping","Deep crawl returned no pages","scrape_all_pages returned empty list"
"2026-06-01 06:49:00","http://dced.pa.gov/programs/solar-energy-program-sep/#.WDSKnLIrJhE","web","scraping","Deep crawl returned no pages","scrape_all_pages returned empty list"
