utility_company,program_name,program_type,financial_details,eligibility,application_process,sector,notes,source_url,extraction_timestamp
Anaheim Public Utilities,Public Access EV Charging Station Rebate Program,Rebate,"$1,000 rebate for installing a Level 2 charger",Residential and commercial customers in Anaheim,Submit application and supporting documents via email or mail,Electric Vehicles,,https://www.anaheim.net/3312/Public-EV-Charger-Rebate,2026-02-24T09:59:39.366463
Anaheim Public Utilities,Commercial Rebates & Incentives,Rebate,Contact utility company for specific rebate amounts and details,Commercial customers in Anaheim,Contact utility company to apply,Electric Vehicles,,https://www.anaheim.net/3312/Public-EV-Charger-Rebate,2026-02-24T09:59:39.366463
,,,,,,,,https://www.cedarburglightandwater.org/shared-savings-program,2026-02-24T09:59:39.366463
Touchstone Energy,Residential/Advance Pay,Connect Services,Sign up for residential service,,node/83,Residential,,https://www.aikenco-op.org/water-heater,2026-02-24T09:59:39.366463
Touchstone Energy,Transfer to Advance Pay,Connect Services,Sign up for prepay service,,node/85,Residential,,https://www.aikenco-op.org/water-heater,2026-02-24T09:59:39.366463
Touchstone Energy,Commercial,Connect Services,Commercial,,node/105,Commercial,,https://www.aikenco-op.org/water-heater,2026-02-24T09:59:39.366463
Touchstone Energy,Outdoor Light,Connect Services,OutdoorLight,,node/87,Outdoor Light,,https://www.aikenco-op.org/water-heater,2026-02-24T09:59:39.366463
Touchstone Energy,Member Liability Form,Disconnect Service,Billing Options,,node/138,Member Liability,,https://www.aikenco-op.org/water-heater,2026-02-24T09:59:39.366463
General Pacific Inc.,Heat Pump Water Heater Program,Incentive,$140 restocking fee and $120 return shipping fee,,Order online or call 503-907-2899,Residential,,https://cpi1.gpfulfillment.com/,2026-02-24T09:59:39.366463
Beaches Energy Services,Home Energy Rebates,Residential,$100-$500 per product,Customers eligible to receive two A/C rebates and one of every other rebate per address over the lifetime of the account.,Submit forms and documentation within 90 days of installation,Residential,,https://beachesenergy.com/my-account/energy-rebates,2026-02-24T09:59:39.366463
Beaches Energy Services,Commercial Lighting Rebate,Commercial,"$5,000 per address for the lifetime of the account",Customers eligible for one commercial lighting rebate per address for the lifetime of the account.,Submit forms and documentation within 90 days of installation,Commercial,,https://beachesenergy.com/my-account/energy-rebates,2026-02-24T09:59:39.366463
